Food code,Main food description,Food description
27120030,"Barbecue pork, with sauce","The image shows the food category of barbecue pork, with sauce. Additional details include char siu pork; bbq; shredded or pulled; not specified subcategory as to sauce."
27120040,"Barbecue pork, no sauce","The image shows the food category of barbecue pork, no sauce. Additional details include bbq; shredded or pulled."
27120060,Sweet and sour pork,The image shows the food category of sweet and sour pork.
27120080,Ham stroganoff,The image shows the food category of ham stroganoff. Additional details include ham with cream or white sauce.
27120090,Ham or pork with mushroom sauce,The image shows the food category of ham or pork with mushroom sauce.
27120100,Ham or pork with tomato-based sauce,The image shows the food category of ham or pork with tomato-based sauce. Additional details include pork chop.
27120110,Sausage with tomato-based sauce,The image shows the food category of sausage with tomato-based sauce.
27120120,Sausage gravy,The image shows the food category of sausage gravy.
27120130,"Pork stew, no potatoes, tomato-based sauce, Mexican style","The image shows the food category of pork stew, no potatoes, tomato-based sauce, Mexican style. Additional details include cerdo guisado sin papas."
27120150,Pork or ham with soy-based sauce,The image shows the food category of pork or ham with soy-based sauce.
27120210,"Chili hot dog, no bun","The image shows the food category of chili hot dog, no bun."
27120250,Frankfurters or hot dogs with tomato-based sauce,The image shows the food category of frankfurters or hot dogs with tomato-based sauce. Additional details include frankfurters or hot dogs with barbecue sauce or chili sauce.
27121000,Pork with chili and tomatoes,The image shows the food category of pork with chili and tomatoes. Additional details include puerco con chile.
27121010,"Stewed pork, Puerto Rican style","The image shows the food category of stewed pork, Puerto Rican style. Additional details include cerdo guisado; Guisado de cerdo."
27121410,"Chili con carne with beans, made with pork","The image shows the food category of chili con carne with beans, made with pork."
27130010,Lamb or mutton with gravy,The image shows the food category of lamb or mutton with gravy.
27133010,"Stewed goat, Puerto Rican style","The image shows the food category of stewed goat, Puerto Rican style. Additional details include puerto Rican stewed kid; Fricase de cabro; Cabrito en fricase; Chilindron de chivo."
27135010,Veal with gravy,The image shows the food category of veal with gravy.
27135020,Veal scallopini,The image shows the food category of veal scallopini. Additional details include veal in wine sauce with cheese.
27135030,Veal with cream sauce,The image shows the food category of veal with cream sauce. Additional details include veal paprikash.
27135040,Veal with butter sauce,The image shows the food category of veal with butter sauce. Additional details include veal picatta.
27135050,Veal Marsala,The image shows the food category of veal Marsala. Additional details include veal in wine sauce.
27135110,Veal parmigiana,The image shows the food category of veal parmigiana. Additional details include breaded veal in tomato sauce with cheese.
27135150,Veal cordon bleu,"The image shows the food category of veal cordon bleu. Additional details include breaded veal, ham, and cheese."
27136050,Venison or deer with tomato-based sauce,The image shows the food category of venison or deer with tomato-based sauce.
27136080,Venison or deer with gravy,The image shows the food category of venison or deer with gravy.
27136100,Chili con carne with venison/deer and beans,The image shows the food category of chili con carne with venison/deer and beans.
27141000,Chicken or turkey cacciatore,The image shows the food category of chicken or turkey cacciatore. Additional details include chicken or turkey with tomato-based sauce; chicken or turkey with tomatoes.
27141030,Spaghetti sauce with poultry,"The image shows the food category of spaghetti sauce with poultry. Additional details include tomato-based, marinara, or red sauce."
27141035,Spaghetti sauce with poultry and added vegetables,"The image shows the food category of spaghetti sauce with poultry and added vegetables. Additional details include tomato-based, marinara, or red sauce; vegetables other than tomatoes and onions."
27141050,"Stewed chicken with tomato-based sauce, Mexican style","The image shows the food category of stewed chicken with tomato-based sauce, Mexican style. Additional details include pollo guisado con tomate."
27141500,Chili con carne with chicken or turkey and beans,The image shows the food category of chili con carne with chicken or turkey and beans.
27142000,Chicken with gravy,The image shows the food category of chicken with gravy.
27142100,Chicken or turkey fricassee,The image shows the food category of chicken or turkey fricassee. Additional details include stewed chicken.
27142200,Turkey with gravy,The image shows the food category of turkey with gravy.
27143000,Chicken or turkey with cream sauce,The image shows the food category of chicken or turkey with cream sauce.
27144000,Chicken or turkey with mushroom sauce,The image shows the food category of chicken or turkey with mushroom sauce. Additional details include chicken or turkey marsala.
